"pid","sawa2","line","offwrist","activity","marker","whitelight","redlight","greenlight","bluelight","wake","interval","starth","day","dayofweek","validday","time"
258857,1,79,0,574,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:13:00
258857,1,80,0,283,0,"6.1","1.71","0.26","0.0347",1,"ACTIVE",0,1,5,1,14:13:30
258857,1,81,0,539,0,"66.69","4.44","6.42",632,1,"ACTIVE",0,1,5,1,14:14:00
258857,1,82,0,172,0,"20.05","2.88","1.54",214,1,"ACTIVE",0,1,5,1,14:14:30
258857,1,83,0,539,0,"142.1","7.8","13.7","4.54",1,"ACTIVE",0,1,5,1,14:15:00
258857,1,84,0,430,0,"1.67",151,151,14,1,"ACTIVE",0,1,5,1,14:15:30
258857,1,85,0,256,0,"0.62","0.0298","0.0622","0.0093",1,"ACTIVE",0,1,5,1,14:16:00
258857,1,86,0,160,1,"270.05","13.7","26.2","9.27",1,"ACTIVE",0,1,5,1,14:16:30
258857,1,87,0,3,1,"330.11","20.2","31.2","11.3",1,"ACTIVE",0,1,5,1,14:17:00
258857,1,88,0,48,0,"186.07","10.8","17.8","6.14",1,"ACTIVE",0,1,5,1,14:17:30
258857,1,89,0,0,0,"0.38","0.0298","0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:18:00
258857,1,90,0,8,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:18:30
258857,1,91,0,210,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:19:00
258857,1,92,0,55,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:19:30
258857,1,93,0,232,0,"0.11",17,"0.0024","0.0431",1,"ACTIVE",0,1,5,1,14:20:00
258857,1,94,0,391,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:20:30
258857,1,95,0,183,0,"6.94",543,646,"0.0807",1,"ACTIVE",0,1,5,1,14:21:00
258857,1,96,0,332,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:21:30
258857,1,97,0,283,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:22:00
258857,1,98,0,355,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:22:30
